n,size,total,comm,comp
512,120,0.438669,0.435852,0.002812
n,size,total,comm,comp
512,120,0.380539,0.377730,0.002804
n,size,total,comm,comp
512,120,0.383836,0.380659,0.003171
n,size,total,comm,comp
512,120,0.375349,0.372315,0.003029
n,size,total,comm,comp
512,120,0.360698,0.356671,0.004022
n,size,total,comm,comp
1024,120,0.464745,0.406903,0.057825
n,size,total,comm,comp
1024,120,0.477892,0.413292,0.064577
n,size,total,comm,comp
1024,120,0.468126,0.431623,0.036481
n,size,total,comm,comp
1024,120,0.472071,0.410182,0.061867
n,size,total,comm,comp
1024,120,0.482354,0.430933,0.051398
n,size,total,comm,comp
2048,120,4.059666,2.491977,1.567655
n,size,total,comm,comp
2048,120,3.853593,2.251313,1.602249
n,size,total,comm,comp
2048,120,3.988608,2.331523,1.657050
n,size,total,comm,comp
2048,120,3.929078,2.281309,1.647737
n,size,total,comm,comp
2048,120,4.004715,2.418861,1.585820
n,size,total,comm,comp
4096,120,18.945894,3.445387,15.500441
n,size,total,comm,comp
4096,120,19.093922,3.853184,15.240693
n,size,total,comm,comp
4096,120,19.434853,3.339107,16.095700
n,size,total,comm,comp
4096,120,18.742515,3.120355,15.622081
n,size,total,comm,comp
4096,120,18.629972,2.575984,16.053937
